word
vegetarian
vegan
plant based
plant based
plantbased
tofu
tempeh
meatless
wfpb
whole food
wholefood
soy
healthy
healthful
veggie
veggies
veg
plants
faux meat
non meat
meatfree
meat free
free of meat
nutritious
nutrient dense
veganism
vegetarianism
bean
beans
macrobiotic
semi vegetarian
semi vegetarianism
semi vegan
semi veganism
salad
salads
seventh day aventist
satvic
hindu
nutrition
falafel
vegetables
fruitarian
raw diet
wholesome
animal product
herbivore
teetotal
veggies
nondairy
meat alternative
plant eater
chickpea
chickpeas
